finance_id,product_id,date,address,units_sold,price,total_revenue,profit,revenue_per_unit,tax_rate_pct,import_duty_usd,local_manufacturing_cost_usd,marketing_expense_usd,r_and_d_expense_usd,warranty_cost_usd,dealer_commission_pct,exchange_rate_to_usd,net_profit_usd,gross_margin_usd,operating_expense_usd,net_revenue_usd,tax_paid_usd,interest_expense_usd,cash_flow_usd,capital_expenditure_usd,depreciation_usd,amortization_usd,ebitda_usd,ebit_usd,net_income_usd,dividend_usd,shares_outstanding,extra_null_col1,extra_null_col2,Product_Name
FIN-TATA-2025-43824,MATJU15H1XGXI0J4D,01-01-2025,"Shanghai, China",7602.66,28000,4174.59,9534.97,17.5,674.91,514.39,18228,6489.45,6147.82,6461.06,6297.11,8536.07,5761.63,1207.92,3930.11,1899.41,6198.35,4962.82,6623.18,3360.22,4582.31,8324.89,1674.28,9575.9,3125.04,2373.15,3950.28,, ,Tata Harrier – Diesel
FIN-TATA-2025-98805,MATN519QYSD31O9N6,01-01-2025,"Riyadh, Saudi Arabia",2950.1,35000,9050.83,4738.23,4242.95,1401.28,1491.57,28875,5726.33,8003.79,1782.3,7707.2,7787.87,4666.56,5002.02,9136.36,1819.95,99.33,7446.83,1782.6,527.87,2579.46,3439.27,5487.99,2246.05,8944.79,6569.77,5755.42,, ,Tata Curvv – Electric
FIN-TATA-2025-43260,MATO0NW4CZ8W37FM4,01-01-2025,"Pune, India",5251.66,35000,5910.25,1655.75,6596.76,625.15,2920.52,25025,2690.05,8925.06,6766.13,540.71,604.27,8360.34,1448,4433.82,7140.28,5291.85,1923.47,3755.93,2273.85,3387.8,5132.47,398.45,9357.1,7933.4,5203.02,8339.91,, ,Tata Curvv – Electric
FIN-TATA-2025-98960,SAL6SCFF03GY7NU08,01-01-2025,"Shanghai, China",2702.02,35000,5685.82,3044.75,9830.3,1851.24,6949.1,23870,9600.25,3886.69,2596.45,5913.71,6108.08,8761.09,5576.55,90.94,6979.96,1285.01,7372.35,416.05,7759.53,9107.68,4834.13,3281.75,4825.84,8243.04,1853.21,6738.04,, ,Jaguar I-PACE – Electric
FIN-TATA-2025-25144,MATENN47KNI9OGXWY,01-01-2025,"New Jersey, USA",7859.33,22000,7317.54,3668.68,280.05,2553.57,2826.87,18040,7445.62,2933.02,6667.74,2078.68,2784.82,9239.57,4277.87,1122.67,3045.12,9609.48,3752.41,3937.35,3017.04,5335.66,2696.2,8460.01,9028.1,5825.95,5510.39,4435.02,, ,Tata Altroz – Petrol
FIN-TATA-2025-61336,MATF4TIZT4MWAUBIX,01-01-2025,"Dubai, UAE",3247.33,28000,1040,7791.17,1464.19,3685.03,6585.91,22050,7089.06,1062.55,3815.03,8185.72,2144.71,4525.56,1335.81,5028.44,3907.88,8290.63,8157.31,771.62,8460.19,4699.66,3723.79,5053.33,2453.97,8808.46,2907.08,693.81,, ,Tata Safari – Diesel
FIN-TATA-2025-68231,MATYG4BGKUADDGRRM,01-01-2025,"Bangalore, India",8856.11,22000,8568.8,4911.76,8840.07,4377.17,7081.52,14300,6545.05,5113.01,7476.79,9107.68,230.74,1715.57,7082,5000.73,2278.44,6218.52,7809.35,9496.65,4529.75,8129.38,6124.06,818.01,483.44,9442.88,8005.08,646.82,, ,Tata Nexon – Petrol
FIN-TATA-2025-71475,MATAN4GFO6G4PLAKL,01-01-2025,"Coventry, UK",9139.82,35000,4546.2,1671.75,6979.29,8727.5,8452.76,31955,1775.71,3580.2,9654.04,7611.39,7200,6771.75,2750.63,1615.08,7749.05,9582.63,1906.16,6138.87,2360.32,812.46,3968.35,4236.37,3827.66,8838.34,8828.46,3246.04,, ,Tata Punch EV – Electric
FIN-TATA-2025-40214,MATJQEKF7OHJPWE40,01-01-2025,"Nairobi, Kenya",9361.91,22000,3426.61,5447.8,1195.4,8481.26,3407.89,16500,961.71,3568.59,2645.23,8317.82,9213.72,1384.3,5303.39,5195.46,6354.14,4395.23,8167.39,114.39,1727.68,4043.67,4381.02,4943.47,8589.84,1919.69,2203.55,6868.32,, ,Tata Curvv – Petrol
FIN-TATA-2025-32491,MAT4JSUR9S1NXG11O,01-01-2025,"Jakarta, Indonesia",1951.78,35000,4139.29,5371.77,2137.8,6500.89,9469.79,28875,2913.06,442.68,4342.62,9904.4,4893.76,2833.66,4087.76,4615.22,6739.86,6364.29,9090.43,2278.89,7024.19,6227.66,1470.74,262.47,1198.01,5017.4,173.99,1404.56,, ,Tata Curvv – Electric
FIN-TATA-2025-21288,SALCTH9VYVX9XO6ON,01-01-2025,"New Jersey, USA",9802.06,28000,7893.27,3361.18,6493.39,9783.76,1890.08,24108,9696.31,2682.93,3463.31,9517.58,9699.21,7160.94,6304.9,767.87,1397.79,2291.99,3230.97,4861.72,1926.64,7373.41,6212.82,4070.33,4263.48,7394.46,4634.82,196.53,, ,Range Rover – Diesel
FIN-TATA-2025-13436,MATLOEIRTKVUFTO2P,01-01-2025,"Graz, Austria",7578.7,28000,8067.07,827.54,9702.12,3702.79,1846.56,22050,3908.6,8227.85,8314.37,9849.35,8945.1,6969.32,5567.38,398.41,668.75,5684.66,5311.59,3312.71,9434.71,254.14,913.87,5758.77,2337.16,9753.42,6210.48,4775.09,, ,Tata Harrier – Diesel
FIN-TATA-2025-38185,MAT9TNDDJCMFKFPVS,01-01-2025,"Coventry, UK",261.92,22000,8544.48,8331.35,5866.68,1157.36,1651.73,18260,6065.47,7979.89,9362.27,6192.01,1787.25,4962.55,563.2,6086.7,8453.32,7865.65,8546.6,6447.34,4553.61,8136.56,3044.14,1435.24,4760.38,7279.13,5285.02,1810.93,, ,Tata Punch – Petrol
FIN-TATA-2025-75095,MATRQ9J4E5VKHQJI9,01-01-2025,"Graz, Austria",4373.44,22000,3269.75,650.38,995.89,559.67,5153.4,16500,6885.7,6802.1,4761.05,526.14,3094.37,7325.92,7349.31,3477.08,7873.28,1927.31,3240.25,9155.04,8035.13,2463.05,7632.24,4855.78,164.55,8136.75,2672.99,4928.09,, ,Tata Altroz – Petrol
FIN-TATA-2025-61005,MATPROUTZAANK3O1H,01-01-2025,"Graz, Austria",3788.46,28000,2288.77,6527.93,1367.11,9974.53,5562.79,22050,9754.16,3459.72,2285.95,5848.31,3769.21,8867.61,6359.98,3180.05,2038.37,3267.62,7815.95,5008.15,2883.12,315.51,4167.98,1713.12,7378.55,407.51,7691.47,6122.18,, ,Tata Safari – Diesel
FIN-TATA-2025-86823,MAT0SYQF2UG74H1J2,01-01-2025,"Bangalore, India",7186.95,22000,2213.26,2896.24,9793.84,2242.04,1576.56,14300,2787.67,6306.89,7460.07,3845.85,2317.15,6398.13,6987.61,7737.41,2105.35,5304.97,657.4,2385.76,4515.22,311.73,5331.06,7477.64,1965.11,3009.16,757.35,9984.81,, ,Tata Curvv – Petrol
FIN-TATA-2025-41321,SALYKOC8USE2TJWTL,01-01-2025,"Solihull, UK",8496.57,22000,5218.66,3587.91,1431.43,828.55,2867.45,18260,5323.91,6162.71,5364.46,6309.32,1460.31,7923.01,3794,9213.3,5250.21,9295.74,1961.86,67.55,6786.54,6100.64,4475.97,1656.34,8360.75,8953.6,270.15,9561.36,, ,Jaguar F-Type – Petrol
FIN-TATA-2025-73288,MATJ8K1OOK6IH0M87,01-01-2025,"Toronto, Canada",555.15,28000,3566.66,6960.49,596.32,1947.85,6381.13,22050,9218.13,1213.96,7198.55,1986.61,9630.53,4232.11,3442.55,1757.81,2184.03,4563.4,8387.34,3042.84,4642.18,5219.24,5265.61,9624.75,3192.29,7830.84,929.37,3936.78,, ,Tata Safari – Diesel
FIN-TATA-2025-15515,MAT4S9GRA1OPGW5MR,01-01-2025,"Riyadh, Saudi Arabia",2906.28,22000,7141.41,5586.52,8751.71,4006.9,3642.56,16500,5281.56,2992.72,6485.39,7452.5,4083.77,1848.04,2484.43,800.17,4524.36,1736.88,9750.46,5256,7807.08,1482.4,9094.44,20.76,3404.98,410.33,5631.68,9545.62,, ,Tata Tigor – Petrol
FIN-TATA-2025-71539,SALDQSYBHP7U2EJ6H,01-01-2025,"Mumbai, India",8964.47,28000,235.15,6438.34,9754.86,1397.48,6246.13,19110,3725.35,1478.35,8601.09,8522.27,3183.37,9247.13,2839.15,919.42,6945.55,5457.56,8012.55,386.42,8116.94,4821.14,7123.33,209.01,6442.39,329.16,3167.2,6562.17,, ,Range Rover Evoque – Diesel
FIN-TATA-2025-49330,MATBC5DBZIJ1ETAHK,01-01-2025,"Shanghai, China",9882.04,22000,4523.77,6759.97,2290.59,1703.44,5212.74,13640,9704.84,6494.17,6602.77,5033.56,5061.26,5969.66,427.57,1974.33,9980.51,8123.07,9209.52,6116.49,3316.19,3172.64,2820.68,1613.28,2729.33,1040.49,7114.49,5277.11,, ,Tata Tigor – Petrol
FIN-TATA-2025-72021,MATLIN5ENUBBQID1Y,01-01-2025,"Jakarta, Indonesia",8247.99,22000,9846.1,7167.92,2635.66,8473.89,5802.43,16500,7826.52,5694.91,4241.3,4138.34,4347.37,6254.72,3953.02,8802,9675.53,4183.74,6654.5,5034.59,7832.89,2926.58,5983.31,1706.79,9821.59,387.76,3497.78,6224.35,, ,Tata Nexon – Petrol
FIN-TATA-2025-73341,MAT4PA3LRB42LI9ZK,01-01-2025,"Shanghai, China",3673.27,22000,7801.07,3787.12,9798.94,8918.79,2148.61,13640,6467.99,3977.01,9648.55,5295.78,4212.09,141.67,1150.14,6946.26,7421.06,4220.48,1757.4,2494.28,7517.57,8096.66,4134.54,8879.92,8470.49,2876.92,4634.96,8885.58,, ,Tata Nexon – Petrol
FIN-TATA-2025-18470,SAL60WPUU72ZR6UNF,01-01-2025,"Nairobi, Kenya",919.19,35000,2778.29,8126.47,5670.28,15.31,5157.62,28875,8161.5,129.88,3674.46,3940.56,2998.98,8274.9,6603.01,5023.12,7084.14,9259.19,9422.22,2421.5,2589.93,3522.54,3815.61,3206.31,1967.46,2976.65,6939.96,6481.39,, ,Jaguar I-PACE – Electric
FIN-TATA-2025-90696,SALO1NQA462Y68IWI,02-01-2025,"New Jersey, USA",2477.71,22000,5654.65,6293.74,8774.71,5110.71,624.36,18040,4202.88,1163.29,2542.85,6281.32,8821.73,6514.49,962.93,6930.19,2428.59,6497.13,4050.29,4877.77,3676.81,6122,4505.77,5960.65,4530.24,8314.14,4275,8189.1,, ,Range Rover Sport – Petrol
FIN-TATA-2025-38098,MATF70ZTNWTBE1GA7,02-01-2025,"Mumbai, India",9358.19,22000,2912.88,6236.39,9314.69,1035.6,4844.42,14300,8051.83,9967.36,6183.03,3983.24,5735.94,4527.21,6642.31,1884.95,4403.87,2536.28,1482.33,3349.65,4262.86,8982.64,2365.59,6778.47,4576.68,4688.63,1182.21,3221,, ,Tata Punch – Petrol
FIN-TATA-2025-51627,SALASHC7QCTK8G14D,02-01-2025,"Nitra, Slovakia",8223.97,22000,4762.9,8580.12,2087.52,6289.15,975.16,16500,2088.56,9732.43,6100.29,6067.99,4181.89,5865.25,369.33,2038.02,9246.88,425.58,3420.73,4558.75,216.3,9459.71,3692.07,7489.36,9482.68,6858.88,5758.48,3341.26,, ,Discovery Sport – Petrol
FIN-TATA-2025-56537,MATT3R8SRF7J3OWF7,02-01-2025,"Riyadh, Saudi Arabia",152.51,28000,7825.22,8080.36,1565.77,9841.13,1104.96,22050,7728.58,5975,2143.55,1711.25,7458.82,1984.63,9672.79,1020.53,1950.28,483.45,5445.05,1800.36,4267.37,4920.12,8762.65,3518.03,7313.59,370.87,6976.04,7942.33,, ,Tata Harrier – Diesel
FIN-TATA-2025-98494,MATB4N020F1WV9PVJ,02-01-2025,"Jamshedpur, India",3701.71,22000,6589.73,8658.97,8257.2,7921.6,3049.94,14300,5788.17,6102.2,289.91,7019.48,3081.1,3221.96,2920.13,6270.98,1063.95,1152.01,421.04,4094.16,5946.66,8168.58,7365.39,7866.51,655.57,7985.7,4863.99,1158.84,, ,Tata Punch – Petrol
FIN-TATA-2025-30047,MATRJEKJ0QVANE0AY,02-01-2025,"Chennai, India",3131.74,35000,4983.34,6661.6,3121.7,8815.05,982.54,25025,656.14,671.41,5749.99,6832.67,6631.73,1344.41,6484.75,1951.08,3889.95,2964.29,116.39,9919.12,4603.16,9071.52,3766.04,8241.2,3866.39,6382.21,7804.18,1669.96,, ,Tata Punch EV – Electric
FIN-TATA-2025-13119,MAT2ROGRLB0AWMFU5,02-01-2025,"Buenos Aires, Argentina",4327.1,22000,2855.14,4915.71,2718.59,5149.55,3934.14,16500,7030.1,8987.99,3713.02,8122.04,8963.27,4820.86,8287.97,6407.64,3155.83,4213.09,7734.61,9493.71,6839.82,4963.61,4760.99,4281.45,8818.93,3395.42,6261.11,3128.26,, ,Tata Curvv – Petrol
FIN-TATA-2025-51460,MAT3DLCBK4L2G61KM,02-01-2025,"New Jersey, USA",4091.44,35000,1481.32,9650.37,6137.94,706.76,404.42,31570,7630.38,2713.03,5765.14,3815.82,2530.62,5261.63,7188.78,3080.04,5912.04,2809.92,5526.74,7651.88,7192.28,8981.32,5434.17,624.87,4728.74,5681.93,3857.15,2549.07,, ,Tata Punch EV – Electric
FIN-TATA-2025-49048,SALEMX4O3TDKHY9XI,02-01-2025,"Shanghai, China",572.27,22000,4120.11,1288.08,8085.67,3445.53,2807.5,13640,191.51,8886.27,7529.46,1459.85,1420.19,1195.3,7596.79,2039.67,8307.52,4313.21,8453.86,1717.77,811.65,5072.64,4972.75,927.63,9469.4,1009.91,8716.17,5876.92,, ,Range Rover Sport – Petrol
FIN-TATA-2025-80025,MAT6L335T3HKJCJ16,02-01-2025,"Jakarta, Indonesia",5990.3,35000,3902.4,6992.06,6996.64,8712.29,3591.36,28875,6777.18,9441.42,8525.83,4133.39,6366.78,3615.71,5974.72,7691.73,4857.58,8755.4,7934.97,2023.8,481.17,6978.77,1183.78,5045.94,3409.06,2672.6,2221.23,5559.21,, ,Tata Curvv – Electric
FIN-TATA-2025-95678,SALM7YM9PXRPGPZ97,02-01-2025,"Shanghai, China",1286.9,22000,461.89,7173.52,1610.33,6364.91,2263.87,13640,7743.16,2231.03,7840.06,7635.48,6298.67,9067.89,8125.95,8237.32,619.08,4576.2,140.44,5575.39,9368.74,389.82,1712.66,7082.44,366.4,1354.74,5409.19,9920.52,, ,Discovery Sport – Petrol
FIN-TATA-2025-24673,SAL8LXCSVGPIV43L0,02-01-2025,"Sao Paulo, Brazil",3437.36,22000,9269.25,5958.15,3652.13,2851.81,9917.03,16500,114.34,6762.56,6531.48,6264.78,7868.88,2168.39,4036.8,8010.68,1258.58,2865.35,5744.16,4370.92,39.53,4932.02,2055.85,7782.23,7064.7,1667.23,6619.87,6552.89,, ,Range Rover Sport – Petrol
FIN-TATA-2025-12739,MATZY57QBNGX06NIL,02-01-2025,"Johannesburg, South Africa",9715.09,22000,3815.18,2579.31,3374.06,858.33,6748.9,16500,477.03,4130.52,3246.31,4334.08,208.56,3189.9,7152.83,6979.12,627.75,9942.61,8927.09,5686.77,4584.58,1387.95,6472.04,6067.64,9994.59,3220.62,3043.95,417.19,, ,Tata Altroz – Petrol
FIN-TATA-2025-43934,MATXLM6XJU7GZAT7V,02-01-2025,"Halewood, UK",4774.4,22000,7067.53,9060.89,1524.88,6033.56,1191.31,18260,6910.35,7434.64,20.93,8240.79,1793.58,8376.91,1126.52,3674.01,2879.73,2879.55,5907.54,2439.4,7719.42,8512.01,3715,6864.75,2914.78,52.1,1643.71,288.4,, ,Tata Tigor – Petrol
FIN-TATA-2025-66548,SAL8EG8CDW3NKS414,02-01-2025,"Seoul, South Korea",4086.95,22000,4773.79,8025.85,3660.89,6329.32,7738.65,16500,220.68,253.84,8106.37,6099.63,4952.87,8504.55,7242.51,1731.15,8705.16,9997.43,3567.69,1785.17,5434.52,8094.59,3796.58,8238.33,7330.81,7709.16,9958.92,5120.59,, ,Discovery Sport – Petrol
FIN-TATA-2025-77889,MATKFSRLKUJGRMJ3Q,02-01-2025,"Bangalore, India",6281.55,35000,5115.4,8425.22,8442.95,2332.97,2486.08,25025,7153.36,6334.19,407.99,1097.13,5518.79,5327.29,7271.39,3804.98,2890.84,8426.11,6097.95,9657.93,4656.6,1681.45,4503.91,4353.01,5483.26,6573.42,8424.46,2296.19,, ,Tata Tigor EV – Electric
FIN-TATA-2025-41365,MATZUUCVBAKW9VKCE,02-01-2025,"Chennai, India",7249.05,22000,9190.41,9042.46,4307.67,4607.74,1830.73,14300,8589.5,3776.27,9451.59,6112.38,5833.67,9581.39,4450.22,3924.26,6681.12,2584.04,687.33,3045.21,8553.4,5051.75,3522.55,316.24,9798.47,7280.75,557.86,2407.41,, ,Tata Curvv – Petrol
FIN-TATA-2025-83127,MAT99YZU5J5KV0DFV,02-01-2025,"Johannesburg, South Africa",2090.09,22000,3687.27,7611.46,5278.81,1594.27,3126.36,16500,3754.52,2445.1,4514.62,6164.31,4426,7999.66,2584.27,8676.33,1037.98,1744.25,7705.93,2619.28,5948.39,9208.25,9634.41,1422.28,6952.48,7155.04,3177.87,9949.68,, ,Tata Punch – Petrol
FIN-TATA-2025-15871,SAL9W31B86Q6O80M6,02-01-2025,"Bangalore, India",9964.61,28000,5378.94,6796.33,5456.96,7208.55,7827.23,19110,1411.11,1575.83,3928.6,6568.05,6198.06,2509.14,3444.1,4479.9,3065.32,9782.38,5494.17,3296.7,4708.72,538.47,8119.94,5224.54,714.36,3663.43,5608.95,593.14,, ,Land Rover Defender – Diesel
FIN-TATA-2025-86431,SAL5GC8JM28J2WJU9,02-01-2025,"Sao Paulo, Brazil",9688.9,22000,4531.1,6149.41,8893.14,4835.45,3544.03,16500,4521.35,3841.66,7212.69,9353.89,6926.76,5085.78,9077.92,2960.54,6888.98,5858.1,1140.72,5973.38,99.39,6178.32,4745.47,9104.33,9832.18,8127.88,1556.85,6281.72,, ,Jaguar F-Type – Petrol
FIN-TATA-2025-36612,SAL2W2TXRZZ2E16OG,02-01-2025,"Coventry, UK",271.47,28000,7239.08,7975.95,652.99,2381.23,598.07,24402,1869.52,1323.98,6770.27,9023.3,3109.23,3309.7,5856.48,7393.8,3410.61,5187.03,2507.48,8728.14,1933.37,4175.89,8680.57,8473.39,8667.44,7485.78,4344.34,610.5,, ,Range Rover – Diesel
FIN-TATA-2025-30084,SALUNC8568Z7VQLMB,02-01-2025,"Toronto, Canada",6490.88,28000,8915.96,9097.93,3053.01,979.07,4802.45,22050,8427.81,6178.83,1501.9,860.66,6639.32,4517.35,777.45,7610.77,840.77,2238.39,5701.65,6164.46,3555.64,3046.09,5913.2,4950.26,6557.13,1803.44,592.64,7641.56,, ,Range Rover Evoque – Diesel
FIN-TATA-2025-24385,SALHXNMUBX97RUMIL,02-01-2025,"Bangalore, India",194.87,22000,1844.17,5521.38,431.21,3676.4,9724.37,14300,3839.77,7427.69,477.25,3499.09,1058.97,1342.05,4911.3,712.82,4218.27,5060.74,3893.34,1700.95,1210.4,5792.44,2136.9,6742.76,3590.67,8116.93,3458.44,4493.92,, ,Jaguar F-Type – Petrol
FIN-TATA-2025-66328,MATNYWLVUTFA8FUA3,02-01-2025,"Solihull, UK",5636.23,35000,6203.75,1300,3453.46,852.74,2152.34,31955,7179.53,5155.08,4403.79,1824.18,6215.05,7731.84,6621.79,5306.02,6414.27,9373.53,2557.14,4889.96,4762.03,9265.56,2434.26,3270.04,6676.42,9256.48,6418.33,4102.73,, ,Tata Tigor EV – Electric
FIN-TATA-2025-18972,MAT2658SLD3YIGIUZ,02-01-2025,"Buenos Aires, Argentina",7391.1,22000,4976.32,399.9,4016.6,7210.45,2131.07,16500,8425.83,9109.17,3766.94,4523.88,9538.73,9970.92,4142.12,2671.48,4671.27,5272.68,5272.17,3890.85,911.53,3528.94,4242.22,7133.36,6230.39,777.15,6073.12,9059.21,, ,Tata Curvv – Petrol
FIN-TATA-2025-40816,SALT75R5M64CAC8AY,02-01-2025,"Solihull, UK",5497.34,22000,2116.6,8944.52,5295.48,464.75,3316.42,18260,4610.05,987.76,8481.86,9371.15,1794.43,104.45,7367.62,7056.71,852.22,6651.19,7851.74,1886.63,663.57,5502.56,7259.63,7974.55,369.7,8865.3,1580.31,4354.41,, ,Jaguar F-Type – Petrol
FIN-TATA-2025-20403,MATUO7W94MWJ1WTMV,02-01-2025,"Mumbai, India",7712.81,22000,8619.48,6592.21,5202.7,6018.95,9075.04,14300,7369.07,3447.5,661.51,8195.17,1402.13,9871.96,8893.74,7309.37,6536.77,5049.82,9707.65,8994.96,1604.69,8934.58,8382.27,4915.86,790.29,1715.28,1313.99,4636.91,, ,Tata Altroz – Petrol
FIN-TATA-2025-97516,MATFQYNO4IKJPQXL6,02-01-2025,"Pune, India",3920.5,22000,3552.56,3495.28,6110.87,8508.31,4462.72,14300,2041.07,2064.1,2263.8,6684.06,8630.48,5643.29,5141.04,161.38,5476.86,8360.28,9324.7,400.24,7017.67,337.13,4667.65,8846.24,4428.65,6095.37,3335.84,8132.9,, ,Tata Curvv – Petrol
FIN-TATA-2025-11249,SALXABAVARY0RCJBL,02-01-2025,"Shanghai, China",6295.18,28000,2118.02,5451.6,6034.22,9288.03,7898.95,18228,8900.43,9691.31,2380.12,8885.24,1729.33,5468.09,2993.93,8735.61,9805.11,934.47,7894.98,1739.92,27.98,6344.21,487.22,4375.28,8744.72,1387.1,545.66,291.53,, ,Range Rover – Diesel
FIN-TATA-2025-62183,MATN369BI3N0031R6,02-01-2025,"Johannesburg, South Africa",1980.39,22000,5941.07,6328.16,7046.15,7864.35,4643.43,16500,9904.7,6718.67,3224.9,5306.86,6344.58,2108.6,4695.94,2028.13,2867.07,7195.26,5397.05,8106.03,9552.77,6541.45,8000.92,1581.7,3970.3,7418.3,7333.58,9116.93,, ,Tata Curvv – Petrol
FIN-TATA-2025-42379,SALHCC4DIEUKM2TV1,03-01-2025,"New Jersey, USA",4639.63,28000,5416.18,8491.71,8311.42,3161.49,7677.67,24108,2310.95,2049.58,6139.15,9006.53,1914.25,968.23,2156.72,1882.99,4917.72,1870.35,8147.77,1527.15,2513.59,4891.81,4578.25,969.61,7155.77,9279.31,9164.58,4653.71,, ,Range Rover – Diesel
FIN-TATA-2025-43917,MATSXS5715OY81E6A,03-01-2025,"Jamshedpur, India",7883.83,22000,8637.37,9740.53,1059.12,2698.99,4842.09,14300,9749.64,450.73,3917.46,6188.25,1006.43,5599.35,1954.33,5113.42,9969.65,3489.35,1519.83,1643.36,4581.23,4711.52,3867.61,7981.43,1920.44,3186.59,1075.68,6369.12,, ,Tata Altroz – Petrol
FIN-TATA-2025-27203,MAT5TSJPNLTV9I2Z5,03-01-2025,"Nitra, Slovakia",2068.46,20000,8767.59,8038.33,6251.44,7575.78,821.18,15000,4178.19,4570.44,2617.97,697.94,2268.49,8551.18,5940.54,843.64,5223.69,1636.13,2729.89,247.06,117.55,9976.1,5635.46,6368.37,8081.78,2521.87,7073.86,8120,, ,Tata Tiago – CNG
FIN-TATA-2025-66322,SALQ8QDINHGQRW1HU,03-01-2025,"Halewood, UK",5954.5,22000,8067.58,137.29,3598.72,8437.35,1476.57,18260,7835.06,7215.75,9424.42,3192.7,3795.23,2993.3,6862.67,4640,732.81,2198.59,5350.28,2076.1,3351.12,6937.74,9605.35,7166.64,3681.28,4289.83,6053.77,7960.77,, ,Range Rover Sport – Petrol
